Sr. No.,State Name,University District,Univesity Name / Body Type,Institution District,College/Stand Alone Institution,Student Enrolment - Male,Student Enrolment - Female,Student Enrolment - Total,Teaching Staff (Excluding - Male),Teaching Staff (Excluding - Female),Teaching Staff (Excluding - Total),PTR (Equal to 9/12)
15120,Maharashtra,Pune,College Institution,Ahmadnagar,"Trimurti Pawan Pratishthans Khasdar Shri Govindrao Aadik Law College, Shrirampur, Dist.Ahmednagar 413709",105,46,151,7,5,12,12
15121,Maharashtra,Pune,College Institution,Pune,"College of Ayurved, Pune",778,409,1187,48,42,90,13
15122,Maharashtra,Pune,College Institution,Pune,"Sinhgad Technical Education Societys Sinhgad Institute of Pharmaceutical Science, Kusagaon bk., Lonavala,Tal. Maval,Dist.Pune",263,94,357,23,1,24,14
15123,Maharashtra,Pune,College Institution,Ahmadnagar,"Shri Kesarchand Gulabchand Munot Nevaskar Sarvajanik Trusts Arts and Commerce College, Ahmednagar 414001",67,17,84,1,5,6,14
15124,Maharashtra,Pune,College Institution,Pune,"Aditya Edcuation Foundations Aditya Institute of Management, Narhe, Dist.Pune",90,25,115,7,5,12,9
15125,Maharashtra,Pune,College Institution,Pune,"Sinhgad Technical Education Societys Sinhgad Law College, Kondhawa Bk. , Pune 48",105,52,157,4,1,5,31
15126,Maharashtra,Mumbai,College Institution,Ratnagiri,Marg Tamhane Education Societys Dr Tatya Saheb Natu College of Arts Marg Tamhane Taluka Chiplun Dist Ratnagiri 415 702.,254,125,379,7,2,9,42
15127,Maharashtra,Nanded,College Institution,Latur,"Krishnai Adhyapak Mahavidyalaya, Murud, Tq. Latur",83,41,124,5,2,7,17
15128,Maharashtra,Kolhapur,College Institution,Kolhapur,"Dr.D.Y.Patil Shikshanshastra Mahavidyalaya,Kadamwadi",75,56,131,1,7,8,16
15129,Maharashtra,Pune,College Institution,Pune,"NAVSAHYADRI EDUCATION SOCIETYs GROUP OF INSTITUTIONS FACULTY OF MANAGEMENT, NAIGAON",275,68,343,17,10,27,12
15130,Maharashtra,Pune,College Institution,Ahmadnagar,"Shikshan Prasarak Sansthas College of Education B.Ed., Ghulewadi, Sangamner College Campus,Sangamner, Dist. Ahmednagar",80,51,131,3,6,9,14
15131,Maharashtra,Pune,College Institution,Ahmadnagar,"Shri Tilok Jain Dnyan Prasarak Mandals Shri Anand Science College, Pathardi, Dist.Ahmednagar 414102",336,98,434,23,6,29,14
15132,Maharashtra,Jalgaon,College Institution,Jalgaon,"100063-GF'S GODAVARI COLLEGE OF ENGINEERING, JALGAON",1152,245,1397,62,22,84,16
15133,Maharashtra,Mumbai,College Institution,Mumbai Suburban,Vivekanand Education Societys College of Pharmacy Sindhi Society Chembur Mumbai 400 071,273,178,451,6,9,15,30
15134,Maharashtra,Solapur,College Institution,Solapur,SHRI VITTHAL EDUCATION AND RECARCH INSTIIUTES COLLEGE OF PHARMACY GOPALPUR PB.NO 54 TAL.PANDHARPUR DIST-SOLAPUR,229,110,339,23,3,26,13
15135,Maharashtra,Jalgaon,College Institution,Jalgaon,"100110-SMBKMP'S SHRI.CHHATRAPATI RAJE SAMBHAJI COLLEGE OF EDUCATION, JALGAON",100,57,157,3,4,7,22
15136,Maharashtra,Amravati,College Institution,Amravati,"Late.Sanjay Tompe and Late Samir Deshmukh Shikshanshastra Mahavidyalaya, Chandur Bazar.",100,72,172,2,1,3,57
15137,Maharashtra,Nanded,College Institution,Nanded,"Indira Institute of Management, Vishnupuri, Nanded",126,27,153,7,5,12,12
15138,Maharashtra,Pune,College Institution,Ahmadnagar,"Sangamner Nagarpalika Arts, D.J.Malpani Commerce and B.N.Sarda Science College, Sangamner, Dist.Ahmednagar",9749,4050,13799,61,9,70,197
15139,Maharashtra,Nanded,College Institution,Nanded,"Saraswati Vidya Mandir Arts College, Kinwat",297,99,396,14,0,14,28
15140,Maharashtra,Mumbai,College Institution,Ratnagiri,Mandar Education Societys Lt Shashikant Gawde College of Education At and Post Pedhambe (Bharde) Taluka Chiplun Dist. Ratnagiri,39,23,62,4,3,7,8
15141,Maharashtra,Amravati,College Institution,Buldana,"Anuradha College of Engineering ,Chikhali.",1296,330,1626,126,20,146,11
15142,Maharashtra,Nanded,College Institution,Nanded,"Vishvbharti Mahavidyalaya, Cidco, Nanded",159,43,202,13,2,15,13
15143,Maharashtra,Nanded,College Institution,Latur,"Maharashtra College of Pharmacy, Nilanga",279,94,373,16,3,19,19
15144,Maharashtra,Kolhapur,College Institution,Sangli,"Dr. Padmasinh Patil College of Physical Education, MIRAJ",45,9,54,4,2,6,9
15145,Maharashtra,Pune,College Institution,Pune,"Dnyanoday Prashikshan Sevabhavi Sansthas, Foresight College of Commerce,Pune",164,63,227,3,4,7,32
15146,Maharashtra,Amravati,College Institution,Washim,"Yeshwantrao Chavan Science College, Mangrulpir.",0,0,0,0,0,0,0
15147,Maharashtra,Kolhapur,College Institution,Sangli,Smt.Rajamati Nemgonda Patil Kanya Mahavidyalaya,472,472,944,5,22,27,34
15148,Maharashtra,Aurangabad,College Institution,Bid,Anjuman ishate Talim's Milliya Arts and Science College,1177,525,1702,38,13,51,33
15149,Maharashtra,Aurangabad,College Institution,Aurangabad,Saraswati Bhuvan College of Science,250,192,442,17,9,26,17
15150,Maharashtra,Solapur,College Institution,Solapur,SHRIRAM INSTITUTE OF INFORMATION TECHNOLOGY AT.POST PANIV TAL. MALSHIRAS,204,102,306,13,3,16,19
15151,Maharashtra,Pune,College Institution,Pune,"Sinhgad Technical Education Societys Smt. Kashibai Navale College of Pharmacy, Kondhawa bk.,Dist.Pune 48",337,125,462,13,9,22,21
15152,Maharashtra,Pune,College Institution,Pune,"K.J.S. Education Society's Tinity College of Engineering and Research, Pisoli, Pune",1583,0,1583,72,45,117,13
15153,Maharashtra,Nanded,College Institution,Nanded,"Mayur B.S.S.S's Mayur College of Information Technoogy and Management, Anand Nagar, Nanded",142,29,171,21,12,33,5
15154,Maharashtra,Aurangabad,College Institution,Jalna,"Bhagwan Shikshan Prasarak Mandal's Rashtramata Indira Gandhi Arts, Commerce and Science College",570,271,841,21,5,26,32
15155,Maharashtra,Nanded,College Institution,Nanded,"Shri Shivaji Law College, Kandhar",180,23,203,4,1,5,40
15156,Maharashtra,Nashik,College Institution,Mumbai,"Nair Hospital Dental College, Mumbai",349,221,570,32,22,54,10
15157,Maharashtra,Nagpur,College Institution,Nagpur,"Institute of Management and Research, Kamptee road",45,15,60,13,11,24,2
15158,Maharashtra,Pune,College Institution,Pune,"Sancheti Institute for Orthopaedics and Rehabilitation, Shivajinagar, Pune 411005",45,37,82,3,0,3,27
15159,Maharashtra,Kolhapur,College Institution,Sangli,"Smt. Kasturbai Walchand College of Arts and Science, Woodhouse Road, Rajnemi Campus",1445,585,2030,50,34,84,24
15160,Maharashtra,Pune,College Institution,Pune,"Siddhant Institute of Business Management, A/p. Sudumbare, Tal. Maval, Dist.Pune 412109",137,30,167,5,2,7,23
15161,Maharashtra,Kolhapur,College Institution,Kolhapur,"Vivekanand College,Tarabai Park",2849,1403,4252,45,7,52,81
15162,Maharashtra,--,Technical/Polytechnic,Bid,GANGAI CHARITABLE TRUST ADARSH POLYTECHNICTAL. ASTHI DIST. BEED,67,9,76,14,8,22,3
15163,Maharashtra,Nagpur,College Institution,Satara,"Krantisinh Nana Patil College of Veterinary Science, Shirwal",163,54,217,44,5,49,4
15164,Maharashtra,Kolhapur,College Institution,Sangli,"Arts and Commerce College, ASHTA",1129,519,1648,11,15,26,63
15165,Maharashtra,Pune,College Institution,Pune,"Shree Chanakya Education Societys Indira Institute of Management, Pune Mumbai Highway, Near Wakad Police Station, Tathwade, Pune 411033",343,102,445,13,10,23,19
15166,Maharashtra,Amravati,College Institution,Yavatmal,"Gopikabai Sitaram Gawande College, Umarkhed",758,246,1004,20,2,22,45
15167,Maharashtra,Nashik,College Institution,Latur,"Maharashtra Institute of Physiotherapy College, Vishwanathpuram, Ambajogai Road Latur",72,50,122,3,1,4,30
15168,Maharashtra,Pune,College Institution,Nashik,"Pravara Gramin Education Societys Sir Vishweshwarayya College of Engineering, Chincholi, Tal. Sinnar, Dist. Nashik 422101",1583,438,2021,107,0,107,18
15169,Maharashtra,Mumbai,College Institution,Thane,Excelsior Education Societys K B College of Arts Commerce and S C College of Science for Women Mithbundar Road Near Indian Hume Pipe Factory Thane East Thane 400 603,1362,1362,2724,5,10,15,181
15170,Maharashtra,Nanded,College Institution,Latur,"M.I.T. jansanwad College, Vishnathpuram, Latur",157,28,185,8,1,9,20
15171,Maharashtra,Nanded,College Institution,Parbhani,"Smt. Shakuntalabai Bordikar Arts Sr. College, Jintur",93,36,129,5,1,6,21
15172,Maharashtra,Mumbai,College Institution,Raigarh,Lokmanya Shikshan Mandals Senior College at Chondhi Post Kihim Tal Alibag Dist Raigad,310,130,440,5,5,10,44
15173,Maharashtra,Mumbai,College Institution,Thane,Mother Velankani Education Trusts Ashadeep Adhyapak Mahavidyalaya (B.Ed.) Mahesh Park Tulinj Road Nallasopara (East) Tal Vasai Dist Thane 401 209,90,81,171,1,7,8,21
15174,Maharashtra,--,Technical/Polytechnic,Nagpur,SHRI SACHHIDANANDA SHIKSHAN SANSTHA'S BHAURAOJI TAYWADE POLYTECHNIC NAGPUR,334,53,387,23,11,34,11
15175,Maharashtra,Nagpur,College Institution,Nagpur,"Government Chitra Kala College, Laxminagar",233,117,350,19,0,19,18
15176,Maharashtra,Kolhapur,College Institution,Kolhapur,"Shri. Yashawantrao Patil Science College, Solankur",5,4,9,0,0,0,0
15177,Maharashtra,Amravati,College Institution,Amravati,"Vidyabharati Mahavidyalaya , C.K. Nayadu Road , Camp, Amravati.",1153,623,1776,30,11,41,43
15178,Maharashtra,Aurangabad,College Institution,Jalna,"Siddharth Arts, Commerce and Science College,Jafrabad.",3538,1226,4764,31,3,34,140
15179,Maharashtra,Kolhapur,College Institution,Satara,Gauri Shankar Institute of Pharmasutical Education and Research,254,138,392,3,12,15,26
15180,Maharashtra,Pune,College Institution,Ahmadnagar,"Sanjeevani Rural Education Societys Shri Saibaba College of Education, Sahajanandnagar, Post.Shingnapur, Tal.Kopargaon, Dist. Ahmednagar",88,66,154,5,1,6,25
15181,Maharashtra,Aurangabad,College Institution,Aurangabad,Dr. Rafiq Zakaria Centre for Higher Learning and Advanced Research,823,296,1119,25,10,35,31
15182,Maharashtra,Mumbai,College Institution,Ratnagiri,Maharshi Karve Stree Shikshan Sanstha's,189,189,378,2,5,7,54
15183,Maharashtra,Mumbai,College Institution,Amravati,Pratibhatai Ptil Mahil Shikshanshastra Mahavidyalaya,100,100,200,4,4,8,25
15184,Maharashtra,Pune,College Institution,Ahmadnagar,"Kukadi Education Societys Arts College,Pimplegaon Pisa, Tal. Shrigonda,Dist.Ahmednagar",274,82,356,8,0,8,44
15185,Maharashtra,Solapur,College Institution,Solapur,WALCHAND COLLEGE OF ARTS AND SCIENCE ASHOK CHOWK SOLAPUR DIST-SOLAPUR,2054,976,3030,51,14,65,46
15186,Maharashtra,--,Technical/Polytechnic,Wardha,INSTITUTE OF DIPLOMA IN PHARMACY,111,50,161,4,1,5,32
15187,Maharashtra,Amravati,College Institution,Yavatmal,"Dr. Babasaheb Nandurkar College of Physical Education, Yavatmal.",323,63,386,16,5,21,18
15188,Maharashtra,Mumbai,College Institution,Ratnagiri,Rayat Shikshan Sansthas Abasaheb Marathe Arts and New Commerce Science College Rajapur Dist Ratnagiri,581,212,793,17,1,18,44
15189,Maharashtra,Kolhapur,College Institution,Kolhapur,"Arts College, KOWAD",553,302,855,21,4,25,34
15190,Maharashtra,Nanded,College Institution,Latur,"Jai Kranti Arts College, Latur",313,118,431,6,6,12,35
15191,Maharashtra,Pune,College Institution,Ahmadnagar,"Abhinav Education Society's Institute of Management and Business Administration, Akole, Dhamangaon Awari Road, Akole, Dist.Ahmednagar 422601.",65,22,87,6,2,8,10
15192,Maharashtra,Aurangabad,College Institution,Aurangabad,"Shivaji College of Arts, Science and Commerce",2303,639,2942,39,11,50,58
15193,Maharashtra,Jalgaon,College Institution,Jalgaon,"100084-KCES'S COLLEGE OF ENGINEERING and INFORMATION TECHNOLOGY, JALGAON",1182,472,1654,26,34,60,27
15194,Maharashtra,Mumbai,College Institution,Thane,Sultan Khan Educational Trust s Asmita College of Architecture Asmita House Asmita Township Naya Nagar Mira Road E Dist Thane 401 107,179,81,260,4,4,8,32
15195,Maharashtra,Jalgaon,College Institution,Nandurbar,"260091-JIIU'S JAMIA COLLEGE OF EDUCATION, AKKALKUWA.",100,23,123,6,3,9,13
15196,Maharashtra,Nashik,College Institution,Nandurbar,"Ahmed Garib Unani Medical College, Akkalkuwa,",135,56,191,23,7,30,6
15197,Maharashtra,Nagpur,College Institution,Gadchiroli,"Bhagwantrao Education College, Aheri",54,19,73,4,0,4,18
15198,Maharashtra,Nanded,College Institution,Hingoli,Swami Vivekanand College of Computer Science and I.T. Hingoli,117,21,138,6,1,7,19
15199,Maharashtra,Nagpur,College Institution,Chandrapur,"Dattguru Saima Education College, Mool",19,10,29,1,3,4,7
15200,Maharashtra,Mumbai,College Institution,Ratnagiri,"MANDAR EDUCATION SOCIETYS SOU SHAILAJA SHINDE ARTS SCIENCE COMMERCE COLLEGE, RATNAGIRI",0,0,0,0,0,0,0
15201,Maharashtra,Kolhapur,College Institution,Kolhapur,"Dr. Ghali College, GADHINGLAJ",1694,1066,2760,62,12,74,37
15202,Maharashtra,Pune,College Institution,Pune,"Chaudhari Autarsing Yadav Memorial Education Trusts Siddhant Institute of Business Management, A/p. Sudumbare, Dist.Pune 412109",243,51,294,14,2,16,18
15203,Maharashtra,Mumbai,College Institution,Mumbai,Anjuman-I-Islams M.H. Saboo Siddik College of Engineering 8-Shephard Road Mumbai 400 008,1791,328,2119,60,38,98,21
15204,Maharashtra,Amravati,College Institution,Buldana,"Mahatma Gandhi Adhyapak Mahavidyalaya, Vanketesh Nager, Buldhana.",77,44,121,4,3,7,17
15205,Maharashtra,Mumbai,College Institution,Thane,Aldel Education Trusts St John College of Engg Vevoor Palghar Tal Palghar Dist Thane,1301,296,1597,42,30,72,22
15206,Maharashtra,Jalgaon,College Institution,Dhule,"210076-TES'S SMT.VIMALBAI UTTAMRAO PATIL ARTSandLATE DR.B.S.DESALE SCIENCE COLLEGE,SAKRI.",774,315,1089,27,12,39,27
15207,Maharashtra,Mumbai,College Institution,Thane,"JAN UTKARSHA PRABODHINI ARTS SCICE AND COMMERCE COLLEGE, THANE",0,0,0,0,0,0,0
15208,Maharashtra,Amravati,College Institution,Akola,"Akola Law College, Akola",43,25,68,11,16,27,2
15209,Maharashtra,Pune,College Institution,Pune,"Al-Ameen Educational and Medical Foundations College of Engineering, Pune",688,130,818,26,15,41,19
15210,Maharashtra,Amravati,College Institution,Akola,"Law college, Akola",435,189,624,17,13,30,20
15211,Maharashtra,Amravati,College Institution,Akola,"Shri. Dhabekar Kala Mahavidyalaya , Dhaba , Tq- Barshitakli.",100,46,146,4,2,6,24
15212,Maharashtra,Pune,College Institution,Nashik,"Gokhale Edcuation Societys Sir Dr. M.S.Gosavi College of Commerce, Nashik 422005",184,64,248,3,2,5,49
15213,Maharashtra,Pune,College Institution,Pune,"Netaji Shikshan Sanstha's Subhash Baburao Kul Arts, Commerce and Science College, Kelgaon, Tal Daund, Dist Pune",497,233,730,15,9,24,30
15214,Maharashtra,Solapur,College Institution,Solapur,"SAHAKAR MAHARSHI SHANKARRAO MOHITE PATIL INSTITUTE OF TECHNOLOGY AND RESEARCH, SHANKARNAGAR",4,4,8,4,3,7,1
15215,Maharashtra,Mumbai,College Institution,Mumbai,Late Smt Hanjabai Gahlot Charitable Trusts College of Pharmacy 6 Gahlot Complex Sector-10 Nerul Navi Mumbai 400 706,207,145,352,0,17,17,20
15216,Maharashtra,Parbhani,College Institution,Aurangabad,"CSMSS College of Agriculture, Kanchanwadi, Paithan Road",362,63,425,10,10,20,21
15217,Maharashtra,Amravati,College Institution,Buldana,"Smt.Tulshibai Rangalalji Zambad Sinior College,Anand Maharashtra Buldana Nagar, Nandura, Buldhana",110,44,154,10,5,15,10
15218,Maharashtra,Pune,College Institution,Pune,"Dr D Y PATIL EDUCATIONAL ENTERPRISES CHARITABEL TRUST Dr D Y PATIL GROUP OF INSTITUTIONS, Dr D Y PATIL SCHOOL OF MANAGEMENT, Dr D Y PATIL KNOWLEDGE CITY, CHARHOLI",30,5,35,5,0,5,7
15219,Maharashtra,Mumbai,College Institution,Thane,Vidya Prasarak Mandals K G Joshi College of Arts and N G Bedekar College of Commerce Chendani Bunder Road Thane 400 601,3861,2223,6084,21,51,72,84
15220,Maharashtra,Mumbai,College Institution,Raigarh,Janardan Bhagat Shikshan Sansthas Changu Kana Thakur Institute of anagement Studies And Research Plot No. 4 Sectore-11 Khanda Colony New Panvel (W) Dist Raigad-410 206,30,17,47,3,3,6,7
15221,Maharashtra,Pune,College Institution,Ahmadnagar,"Rahuri Rural Womens Institute of Educations Gayatri College of Education, Deolali Pravara Dist. Ahmednagar 413716",74,49,123,4,3,7,17
15222,Maharashtra,Solapur,College Institution,Solapur,SHRI VIRATAPSVI CHANNAVIR SHIVACHARY EDUCATION COLLEGE MIDC AKKLKOT ROAD SOLAPUR DIST-SOLAPUR,69,35,104,6,2,8,13
15223,Maharashtra,Amravati,College Institution,Yavatmal,"Jijamata Arts College , Darwha.",134,134,268,5,1,6,44
15224,Maharashtra,Kolhapur,College Institution,Sangli,"Deshbhakta Anandrao Balwantrao Naik Arts and Science College,Yashwantnagar, CHIKHALI",726,317,1043,14,6,20,52
15225,Maharashtra,Parbhani,College Institution,Aurangabad,Queens College of Food Technology and Research Foundation,195,70,265,6,10,16,16
15226,Maharashtra,Mumbai,College Institution,Nashik,Gokhale Education Society's,797,797,1594,18,28,46,34
15227,Maharashtra,Pune,College Institution,Pune,"Sinhgad Technical Education Societys Sinhgad Institute of Hotel Management and Catering Technology, Kusgaon Bk., Lonavala, Tal. Maval, Dist.Pune 410401",250,22,272,15,7,22,12
15228,Maharashtra,Amravati,College Institution,Amravati,"Science and Home Science College,Chandur Bazar",213,103,316,20,22,42,7
15229,Maharashtra,Aurangabad,College Institution,Aurangabad,"Mahatma Gandhi College of Education, Pannalal Nagar.",100,62,162,3,3,6,27
15230,Maharashtra,--,Technical/Polytechnic,Latur,HINDUSTANI EDUCATION SOCIETY N.B.S. INSTITUTE OF POLYTECHNIC AUSA LATUR,597,114,711,40,10,50,14
15231,Maharashtra,Kolhapur,College Institution,Kolhapur,"Rajarshi Shahu Arts and Commerce College, RUKADI",521,241,762,14,4,18,42
15232,Maharashtra,Aurangabad,College Institution,Aurangabad,"Deogiri Institute of Engineering and Management Studies, Aurangabad",1771,606,2377,62,29,91,26
15233,Maharashtra,Nagpur,College Institution,Wardha,"Samarth Arts Commerce College, Ashti",290,157,447,10,2,12,37
15234,Maharashtra,Amravati,College Institution,Buldana,"Vivekand Science Col lege,Vivekand Nagar, Hiwara Ashram,Tq.Mehkar.",134,49,183,12,5,17,10
15235,Maharashtra,Nagpur,College Institution,Nagpur,"JL Chaturvedi College of Pharmacy, Hingna road",240,148,388,20,18,38,10
15236,Maharashtra,Kolhapur,College Institution,Kolhapur,"Acharya Jawadekar Shikshanshastra Mahavidyalaya, GARGOTI",80,45,125,5,3,8,15
15237,Maharashtra,Nanded,College Institution,Latur,"Matoshri Kesarbai Kale College of Education, Latur",80,41,121,4,12,16,7
15238,Maharashtra,Pune,College Institution,Pune,"Sinhgad Technical Education Societys Sinhgad Arts and Commerce College ,Narhe,Tal.Haveli, Dist. Pune",752,178,930,7,10,17,54
15239,Maharashtra,Mumbai,College Institution,Sindhudurg,Dnyankunj College of Information Technology and Management,90,90,180,4,4,8,22
15240,Maharashtra,Aurangabad,College Institution,Osmanabad,"Adarsha Arts, Commerce and Science College. Omerga.",1207,372,1579,41,4,45,35
15241,Maharashtra,Pune,College Institution,Pune,"Mandke Human Happiness Foundations Arts, Science and Commerce College, Pune 38",190,50,240,1,4,5,48
15242,Maharashtra,--,Technical/Polytechnic,Thane,VIDYAVARDHINI'S BHAUSAHEB VARTAK POLYTECHNIC VASAITHANE,910,226,1136,34,20,54,21
15243,Maharashtra,Amravati,College Institution,Amravati,"College of Engineering, Ghatkhed, Amravati,",1159,377,1536,34,23,57,26
15244,Maharashtra,Parbhani,College Institution,Latur,"College of Agri-Business Management, Barshi Road",96,13,109,12,3,15,7
15245,Maharashtra,Amravati,College Institution,Amravati,"Prof Ram Meghe College of Engineering and Management, Badnera Rly",775,300,1075,43,8,51,21
